groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
2278,SM - Celestial Storm,CES,FALSE,2018-08-03T00:00:00,2025-11-27T08:21:30.773,3
2282,World Championship Decks,WCD,FALSE,2018-07-01T00:00:00,2025-12-04T20:39:58.167,3
2209,SM - Forbidden Light,SM06,FALSE,2018-05-04T00:00:00,2025-12-03T14:05:20.493,3
2208,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,SMK2,TRUE,2018-04-06T00:00:00,2023-01-06T21:37:31.22,3
2178,SM - Ultra Prism,SM05,FALSE,2018-02-02T00:00:00,2025-12-02T14:07:06.103,3
2148,McDonald's Promos 2017,MCD17,TRUE,2017-11-07T00:00:00,2022-09-23T15:39:06.843,3
2071,SM - Crimson Invasion,SM04,FALSE,2017-11-03T00:00:00,2025-12-04T03:03:00.197,3
2054,Shining Legends,SHL,FALSE,2017-10-06T00:00:00,2025-12-08T16:32:32.89,3
1957,SM - Burning Shadows,SM03,FALSE,2017-08-04T00:00:00,2025-12-05T18:47:16.127,3
1938,Alternate Art Promos,PR,TRUE,2017-05-19T00:00:00,2025-12-05T18:54:36.343,3
1919,SM - Guardians Rising,SM02,FALSE,2017-05-05T00:00:00,2025-12-02T20:15:04.583,3
23095,Ash vs Team Rocket Deck Kit (JP Exclusive),AVTR,FALSE,2017-04-21T00:00:00,2023-04-04T11:55:00.78,3
2069,SM Trainer Kit: Lycanroc & Alolan Raichu,SMK1,FALSE,2017-04-21T00:00:00,2025-08-04T16:53:57.113,3
1863,SM Base Set,SM01,FALSE,2017-02-03T00:00:00,2025-12-04T16:47:38.323,3
1861,SM Promos,SMP,FALSE,2016-12-14T00:00:00,2025-12-04T20:37:18.223,3
1842,XY - Evolutions,EVO,FALSE,2016-11-02T00:00:00,2025-12-03T14:12:24.113,3
1840,Deck Exclusives,PR,FALSE,2016-09-01T00:00:00,2025-12-02T04:30:09.497,3
3087,McDonald's Promos 2016,MCD16,TRUE,2016-08-05T00:00:00,2022-10-25T17:20:52.377,3
1815,XY - Steam Siege,STS,FALSE,2016-08-03T00:00:00,2025-11-29T03:54:47.023,3
1539,League & Championship Cards,PR,FALSE,2016-06-01T00:00:00,2025-12-05T19:18:53.71,3
1780,XY - Fates Collide,FCO,FALSE,2016-05-02T00:00:00,2025-11-29T00:15:31.717,3
1796,XY Trainer Kit: Pikachu Libre & Suicune,PR,FALSE,2016-04-27T00:00:00,2024-08-20T18:24:14.493,3
1728,Generations,GEN,FALSE,2016-02-22T00:00:00,2025-12-02T16:25:28.203,3
1729,Generations: Radiant Collection,GEN,FALSE,2016-02-22T00:00:00,2025-11-21T23:51:02.313,3
1701,XY - BREAKpoint,BKP,FALSE,2016-02-03T00:00:00,2025-11-21T23:45:29.267,3
1694,McDonald's Promos 2015,MCD15,FALSE,2015-11-23T00:00:00,2025-11-13T14:14:02.74,3
1661,XY - BREAKthrough,BKT,FALSE,2015-11-04T00:00:00,2025-11-29T03:06:44.52,3
1576,XY - Ancient Origins,AOR,FALSE,2015-08-12T00:00:00,2025-11-29T00:09:49.497,3
1534,XY - Roaring Skies,ROS,FALSE,2015-05-06T00:00:00,2025-12-03T05:24:41.843,3
1536,XY Trainer Kit: Latias & Latios,PR,FALSE,2015-04-29T00:00:00,2024-10-25T17:06:18,3
1528,Jumbo Cards,PR,FALSE,2015-04-01T00:00:00,2025-12-03T16:06:00.24,3
1525,Double Crisis,DCR,FALSE,2015-03-25T00:00:00,2025-12-03T05:29:20.027,3
1509,XY - Primal Clash,PRC,FALSE,2015-02-04T00:00:00,2025-12-03T22:40:21.05,3
1533,XY Trainer Kit: Bisharp & Wigglytuff,PR,FALSE,2014-11-14T00:00:00,2023-03-31T16:31:12.98,3
1494,XY - Phantom Forces,PHF,FALSE,2014-11-05T00:00:00,2025-12-03T23:26:21.463,3
1481,XY - Furious Fists,FFI,FALSE,2014-08-13T00:00:00,2025-12-03T23:50:50.113,3
